ADMIN | /admin/django_celery_beat/solarschedule/<path:object_id>/history/ | django.contrib.admin.options.history_view | django_celery_beat_solarschedule_history
ADMIN | /admin/django_celery_beat/solarschedule/add/ | django.contrib.admin.options.add_view | django_celery_beat_solarschedule_add
ADMIN | /admin/jsi18n/ | django.contrib.admin.sites.i18n_javascript | jsi18n
ADMIN | /admin/login/ | django.contrib.admin.sites.login | login
ADMIN | /admin/logout/ | django.contrib.admin.sites.logout | logout
ADMIN | /admin/password_change/ | django.contrib.admin.sites.password_change | password_change
ADMIN | /admin/password_change/done/ | django.contrib.admin.sites.password_change_done | password_change_done
ADMIN | /admin/r/<int:content_type_id>/<path:object_id>/ | django.contrib.contenttypes.views.shortcut | view_on_site
ADMIN | /admin/rotations/hospital/ | django.contrib.admin.options.changelist_view | rotations_hospital_changelist
ADMIN | /admin/rotations/hospital/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/rotations/hospital/<path:object_id>/change/ | django.contrib.admin.options.change_view | rotations_hospital_change
ADMIN | /admin/rotations/hospital/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | rotations_hospital_delete
ADMIN | /admin/rotations/hospital/<path:object_id>/history/ | django.contrib.admin.options.history_view | rotations_hospital_history
ADMIN | /admin/rotations/hospital/add/ | django.contrib.admin.options.add_view | rotations_hospital_add
ADMIN | /admin/rotations/hospitaldepartment/ | django.contrib.admin.options.changelist_view | rotations_hospitaldepartment_changelist
ADMIN | /admin/rotations/hospitaldepartment/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/rotations/hospitaldepartment/<path:object_id>/change/ | django.contrib.admin.options.change_view | rotations_hospitaldepartment_change
ADMIN | /admin/rotations/hospitaldepartment/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | rotations_hospitaldepartment_delete
ADMIN | /admin/rotations/hospitaldepartment/<path:object_id>/history/ | django.contrib.admin.options.history_view | rotations_hospitaldepartment_history
ADMIN | /admin/rotations/hospitaldepartment/add/ | django.contrib.admin.options.add_view | rotations_hospitaldepartment_add
ADMIN | /admin/supervision/residentsupervisorassignment/ | django.contrib.admin.options.changelist_view | supervision_residentsupervisorassignment_changelist
ADMIN | /admin/supervision/residentsupervisorassignment/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/supervision/residentsupervisorassignment/<path:object_id>/change/ | django.contrib.admin.options.change_view | supervision_residentsupervisorassignment_change
